,packetTotalCount,reversePacketTotalCount,octetTotalCount,reverseOctetTotalCount,smallPacketCount,reverseSmallPacketCount,largePacketCount,reverseLargePacketCount,nonEmptyPacketCount,reverseNonEmptyPacketCount,dataByteCount,reverseDataByteCount,averageInterarrivalTime,reverseAverageInterarrivalTime,firstNonEmptyPacketSize,reverseFirstNonEmptyPacketSize,maxPacketSize,reverseMaxPacketSize,standardDeviationPayloadLength,reverseStandardDeviationPayloadLength,standardDeviationInterarrivalTime,reverseStandardDeviationInterarrivalTime,deviceName
11664,11.0,16.0,1105.0,6625.0,0.0,5.0,0.0,4.0,3.0,10.0,525.0,5785.0,62.0,16291.0,184.0,1438.0,215.0,1592.0,36.0,658.0,82.0,72367.0,amazon-fire-tv-stick-4k
11665,13.0,10.0,1401.0,7358.0,0.0,1.0,1.0,5.0,3.0,6.0,849.0,6946.0,6356.0,8451.0,183.0,1460.0,540.0,2368.0,183.0,724.0,6255.0,23621.0,amazon-fire-tv-stick-4k
11666,19.0,18.0,1789.0,6504.0,0.0,5.0,1.0,6.0,3.0,13.0,997.0,5772.0,8574.0,505.0,190.0,96.0,681.0,1460.0,247.0,629.0,8538.0,487.0,amazon-fire-tv-stick-4k
11667,9.0,26.0,1351.0,33662.0,2.0,0.0,2.0,21.0,4.0,22.0,875.0,32302.0,15.0,4.0,517.0,158.0,517.0,2876.0,197.0,812.0,16.0,15.0,amazon-fire-tv-stick-4k
11668,10.0,13.0,1397.0,12854.0,2.0,0.0,2.0,8.0,4.0,9.0,869.0,12170.0,12.0,7.0,517.0,158.0,517.0,2876.0,196.0,707.0,16.0,15.0,amazon-fire-tv-stick-4k
11669,15.0,28.0,1662.0,39010.0,2.0,0.0,2.0,23.0,4.0,24.0,874.0,37546.0,11.0,4.0,517.0,158.0,517.0,2876.0,197.0,618.0,25.0,21.0,amazon-fire-tv-stick-4k
11670,2799.0,5402.0,146228.0,8362957.0,1.0,0.0,1.0,5394.0,4.0,5396.0,648.0,8082045.0,64.0,33.0,196.0,1438.0,295.0,2876.0,96.0,608.0,52.0,45.0,amazon-fire-tv-stick-4k
11671,38208.0,74181.0,1987520.0,113600319.0,0.0,5.0,1.0,74168.0,3.0,74175.0,660.0,109742899.0,1.0,4.0,196.0,1438.0,338.0,7190.0,88.0,586.0,44.0,56.0,amazon-fire-tv-stick-4k
11672,12.0,12.0,1373.0,7814.0,0.0,1.0,1.0,7.0,3.0,8.0,849.0,7322.0,96.0,5780.0,183.0,1460.0,540.0,2368.0,183.0,740.0,89.0,5692.0,amazon-fire-tv-stick-4k
11673,29.0,18.0,28037.0,3694.0,1.0,0.0,19.0,4.0,21.0,5.0,26845.0,2962.0,3225.0,5301.0,225.0,152.0,1460.0,1460.0,536.0,449.0,3186.0,5242.0,amazon-fire-tv-stick-4k
